ZLyGaZOGI5Sf8CdDmaq_SieLZ_2Jvkgh,ciao,"Ciao, sono il chatbot NoVAGraphS.             Sono programmato per rispondere a domande riguardanti i circuiti elettrici.             Come posso aiutarti?            figure{saluto}","["" ciao ""]",2024- 1-25 18:4:7,typeABC
-4fHxOk18kdSl4I1z-0-WFucKamULP1x,Cos'è il dominio,"Il dominio di una funzione rappresenta l'insieme di tutti gli input validi o possibili che puoi utilizzare in quella funzione. In altre parole, è l'insieme di valori per cui la funzione ha un significato o restituisce un risultato.                    figure{insiemi/funzione.svg} element{#insieme-dominio----}","[""e il""]",2024- 5-14 10:18:0,typeInsiemi
SX8vMVoP3X6Fsk96PdMBXvMMRX1mv09j,dominio,"L'insieme A è composto da 4 elementi: josephine, kevin, luigi, silvia.figure{tre_domini/insiemi/funzione.svg} element{#insieme-dominio--fill--#04ed00}",[],2024- 5-14 10:29:35,typeInsiemi
9ICrdPqc5zM3uRgBPlP1JLjaTuosDM3C,dominio,"L'insieme A è composto da 4 elementi: josephine, kevin, luigi, silvia.figure{tre_domini/insiemi/funzione.svg} element{#insieme-dominio--fill--#04ed00}",[],2024- 5-14 11:38:20,typeInsiemi
9ICrdPqc5zM3uRgBPlP1JLjaTuosDM3C,dominio,"L'insieme A è composto da 4 elementi: josephine, kevin, luigi, silvia.figure{tre_domini/insiemi/funzione.svg} element{#insieme-dominio--fill--#04ed00}",[],2024- 5-14 11:43:29,typeInsiemi
9ICrdPqc5zM3uRgBPlP1JLjaTuosDM3C,dominio,"L'insieme A è composto da 4 elementi: josephine, kevin, luigi, silvia.figure{tre_domini/insiemi/funzione.svg} element{#insieme-dominio--fill--#04ed00}",[],2024- 5-14 11:44:8,typeInsiemi
9bpQhJUlmmMqb2-rh44hiDXkX5tLkA6k,dominio,"L'insieme A è composto da 4 elementi: josephine, kevin, luigi, silvia.figure{tre_domini/insiemi/funzione.svg} element{#insieme-dominio--fill--#04ed00}",[],2024- 5-14 11:45:11,typeInsiemi
MfuIc5vtoskuiMCU3YFLmldU9Qtzw8em,dominio,"L'insieme A è composto da 4 elementi: josephine, kevin, luigi, silvia.figure{tre_domini/insiemi/funzione.svg} element{#insieme-dominio--fill--#04ed00}",[],2024- 5-14 11:45:26,typeInsiemi
vtbmEeCGuae6fvdzGSmi-Y6Nq3BgOehX,dominiio,"Scusa, non ho capito.Prova a chiedermi ""quali sono gli elementi del dominio?""","["" dominiio ""]",2024- 5-14 11:46:2,typeInsiemi
vtbmEeCGuae6fvdzGSmi-Y6Nq3BgOehX,dominio,"L'insieme A è composto da 4 elementi: josephine, kevin, luigi, silvia.figure{tre_domini/insiemi/funzione.svg} element{#insieme-dominio--fill--#04ed00}",[],2024- 5-14 11:46:6,typeInsiemi
62kPU93EzNy69DHkIGyHDVytVb9e3aQ6,domini,"Scusa, non ho capito.Prova a chiedermi ""quali sono gli elementi del dominio?""","["" domini ""]",2024- 5-14 11:46:38,typeInsiemi
62kPU93EzNy69DHkIGyHDVytVb9e3aQ6,Domini,"Non ho capito.Prova a chiedermi ""quali sono gli elementi del dominio?""","["" Domini ""]",2024- 5-14 11:46:43,typeInsiemi
62kPU93EzNy69DHkIGyHDVytVb9e3aQ6,dominio,"L'insieme A è composto da 4 elementi: josephine, kevin, luigi, silvia.figure{tre_domini/insiemi/funzione.svg} element{#insieme-dominio--fill--#04ed00}",[],2024- 5-14 11:46:48,typeInsiemi
dqwmMIXJjjG7-CX2Piz34gM-oiEYL02k,dominio,"L'insieme A è composto da 4 elementi: josephine, kevin, luigi, silvia.figure{tre_domini/insiemi/funzione.svg} element{#insieme-dominio--fill--#04ed00}",[],2024- 5-14 11:47:14,typeInsiemi
dqwmMIXJjjG7-CX2Piz34gM-oiEYL02k,dominio,"L'insieme A è composto da 4 elementi: josephine, kevin, luigi, silvia.figure{tre_domini/insiemi/funzione.svg} element{#insieme-dominio--fill--#04ed00}",[],2024- 5-14 11:47:40,typeInsiemi
