Question,Global Subject,Question Intent,aiml_main_prediction,aiml_sub_prediction,bert_main_prediction,bert_sub_prediction
Hello!,START,START,START,START,OFF_TOPIC,OFF_TOPIC
Hi!,START,START,START,START,OFF_TOPIC,OFF_TOPIC
Hey!,START,START,OFF_TOPIC,OFF_TOPIC,OFF_TOPIC,OFF_TOPIC
Greetings!,START,START,OFF_TOPIC,OFF_TOPIC,STATE,COUNT
Hello again!,START,START,START,START,OFF_TOPIC,OFF_TOPIC
Hi there!,START,START,START,START,STATE,COUNT
How’s it going?,START,START,OFF_TOPIC,OFF_TOPIC,AUTOMATON,DESCRIPTION
"Hey, chatbot!",START,START,OFF_TOPIC,OFF_TOPIC,AUTOMATON,DESCRIPTION
"Hi, how are you?",START,START,START,START,THEORY,THEORY
Hey buddy!,START,START,OFF_TOPIC,OFF_TOPIC,STATE,COUNT
"Hi, automaton!",START,START,START,START,AUTOMATON,DESCRIPTION
"Hello there, can we get started?",START,START,START,START,OFF_TOPIC,OFF_TOPIC
"Hey, I'm here to begin our conversation.",START,START,OFF_TOPIC,OFF_TOPIC,OFF_TOPIC,OFF_TOPIC
"Greetings, what can you do for me today?",START,START,OFF_TOPIC,OFF_TOPIC,OFF_TOPIC,OFF_TOPIC
"Hi, I’d like to chat with you.",START,START,START,START,OFF_TOPIC,OFF_TOPIC
"Hello, how do you work?",START,START,START,START,THEORY,THEORY
"Hey, I’m curious about your functions.",START,START,OFF_TOPIC,OFF_TOPIC,OFF_TOPIC,OFF_TOPIC
"Hi there, can you tell me your capabilities?",START,START,START,START,STATE,COUNT
"Greetings, let’s start our discussion.",START,START,OFF_TOPIC,OFF_TOPIC,OFF_TOPIC,OFF_TOPIC
"Hello, I’m interested in learning more about you.",START,START,START,START,OFF_TOPIC,OFF_TOPIC
"Hey, can you introduce yourself?",START,START,OFF_TOPIC,OFF_TOPIC,OFF_TOPIC,OFF_TOPIC
"Hi, what’s your purpose here?",START,START,START,START,OFF_TOPIC,OFF_TOPIC
"Hello, I’d like to explore automata theory with you.",START,START,START,START,THEORY,THEORY
"Hey, can we dive into how you operate?",START,START,OFF_TOPIC,OFF_TOPIC,OFF_TOPIC,OFF_TOPIC
"Greetings, I’m ready to ask some questions.",START,START,OFF_TOPIC,OFF_TOPIC,OFF_TOPIC,OFF_TOPIC
"Hi, how do you process input?",START,START,START,START,AUTOMATON,DESCRIPTION
"Hello, I’m testing your conversational skills.",START,START,START,START,OFF_TOPIC,OFF_TOPIC
